r,ion_rate
2.341259230e+00,4.848547841e-01
2.349692494e+00,4.861725747e-01
2.358125758e+00,4.874784907e-01
2.366661867e+00,4.887944238e-01
2.375197976e+00,4.900957044e-01
2.383836929e+00,4.913963192e-01
2.392578728e+00,4.926873406e-01
2.401217681e+00,4.939750971e-01
2.410062324e+00,4.952669572e-01
2.418906967e+00,4.965446767e-01
2.427751610e+00,4.978151320e-01
2.436699097e+00,4.990947712e-01
2.445749429e+00,5.003647239e-01
2.454799761e+00,5.016233465e-01
2.463952938e+00,5.028783904e-01
2.473106115e+00,5.041382621e-01
2.482259292e+00,5.053824363e-01
2.491618158e+00,5.066290326e-01
2.500977024e+00,5.078668500e-01
2.510335891e+00,5.091047509e-01
2.519797602e+00,5.103314003e-01
2.529259313e+00,5.115659879e-01
2.538926713e+00,5.127866152e-01
2.548491268e+00,5.140028226e-01
2.558261513e+00,5.152127087e-01
2.567928914e+00,5.164265656e-01
2.577802003e+00,5.176202755e-01
2.587675093e+00,5.188275618e-01
2.597651027e+00,5.200240529e-01
2.607626962e+00,5.212198345e-01
2.617705741e+00,5.224018131e-01
2.627784520e+00,5.235814390e-01
2.637966144e+00,5.247575820e-01
2.648250612e+00,5.259414775e-01
2.658535080e+00,5.270930698e-01
2.668922393e+00,5.282639417e-01
2.679309706e+00,5.294264063e-01
2.689902709e+00,5.305789311e-01
2.700392867e+00,5.317351206e-01
2.711088714e+00,5.328805457e-01
2.721784561e+00,5.340255117e-01
2.732583253e+00,5.351568397e-01
2.743381945e+00,5.362871013e-01
2.754283481e+00,5.374151787e-01
2.765287862e+00,5.385398765e-01
2.776292243e+00,5.396624883e-01
2.787399469e+00,5.407793235e-01
2.798609540e+00,5.418889448e-01
2.809819610e+00,5.430113035e-01
2.821132526e+00,5.440895346e-01
2.832548286e+00,5.452101316e-01
2.843964045e+00,5.463056316e-01
2.855482650e+00,5.473869384e-01
2.867104099e+00,5.484761443e-01
2.878725549e+00,5.495519441e-01
2.890552687e+00,5.506299760e-01
2.902276981e+00,5.517132853e-01
2.914206965e+00,5.527791126e-01
